Subject_ID,Skill_Computed,Total_Time,Total_demos,Sgm_id,Sgm_Duration,Subsegments,RF_Passive,RF_Active,Var_Int_P_X,Var_Int_P_Y,Var_Int_P_Z,Var_Int_A_X,Var_Int_A_Y,Var_Int_A_Z,Stiff_P_X,Stiff_P_Y,Stiff_P_Z,Stiff_A_X,Stiff_A_Y,Stiff_A_Z,meanGQ_X,meanGQ_Y,meanGQ_Z,meanGQ_RX,meanGQ_RY,meanGQ_RZ,minGQ_X,minGQ_Y,minGQ_Z,minGQ_RX,minGQ_RY,minGQ_RZ,maxGQ_X,maxGQ_Y,maxGQ_Z,maxGQ_RX,maxGQ_RY,maxGQ_RZ,maxF_X,maxF_Y,maxF_Z,maxT_X,maxT_Y,maxT_Z
47,1,12.04,12,1,99,1,2,3,1,1,1,1,1,1,0.74925,0.74907,0.71054,0.36494,0.41034,0.51075,0.73059,0.61745,0.75489,0.15327,0.10772,0.09536,0.27597,0.11954,0.11923,0.0031301,0.007517,0.0033041,1.9902,1.4151,1.3285,1.2887,0.48281,0.40171,17.17,15.716,6.2226,1.7973,0.085479,0.0083462
47,1,12.04,12,2,600,1,1,1,2,2,3,2,3,3,0.40624,0.23016,0.25176,0.23837,0.37471,0.42791,1.0544,0.67579,0.34914,0.074542,0.11182,0.27914,0.53198,0.058637,0.09856,0.0019247,0.0018476,0.0071152,2.1552,1.7345,0.80316,0.18637,0.67084,0.87575,17.17,15.716,6.2226,1.7973,0.085479,0.0083462
47,1,12.04,12,3,500,1,2,1,1,1,1,1,1,1,0.74586,0.7139,0.54579,0.56362,0.63833,0.5013,0.56898,0.76179,0.37267,0.11893,0.076681,0.41555,0.14972,0.25345,0.10751,0.001899,0.001845,0.0027518,1.1001,1.2887,0.70758,0.94758,0.22583,1.0461,17.17,15.716,6.2226,1.7973,0.085479,0.0083462
48,1,17.7,13,1,299,1,1,1,1,1,1,1,1,1,0.47418,0.44181,0.6273,0.38534,0.47238,0.42784,1.3567,0.46141,0.53808,0.070434,0.051565,0.25724,0.19646,0.24668,0.28282,0.0021817,0.0022303,0.0048181,2.3322,0.82248,1.1992,0.38846,0.24334,1.3705,16.336,4.5157,4.2955,0.52873,0.038784,0.0056371
48,1,17.7,13,2,600,1,1,1,3,3,3,2,3,2,0.31453,0.26042,0.52858,0.30343,0.40674,0.4353,1.2795,0.38764,0.75662,0.55724,0.18688,0.5054,0.16131,0.15342,0.16497,0.16085,0.079407,0.12576,2.1717,0.65751,1.9684,1.3105,0.49014,2.0594,16.336,4.5157,4.2955,0.52873,0.038784,0.0056371
48,1,17.7,13,3,500,1,2,1,1,1,1,1,1,1,0.63221,0.64795,0.61353,0.71879,0.66299,0.72992,0.8184,0.35554,0.4007,0.02667,0.17583,0.040928,0.029799,0.12676,0.15547,0.00062553,0.00057942,0.00061607,1.8424,0.52473,0.59666,0.067974,0.79243,0.21689,16.336,4.5157,4.2955,0.52873,0.038784,0.0056371
49,1,10.2,13,1,199,1,2,3,1,1,1,1,1,1,0.50714,0.45844,0.43471,0.41903,0.40614,0.25858,1.1635,0.66392,0.75807,0.41887,0.62403,0.522,0.54123,0.18938,0.11862,0.003176,0.0031237,0.0029655,2.534,1.2657,1.8975,1.2812,2.2028,1.5265,19.142,14.931,1.8357,1.7656,0.088589,0.0065699
49,1,10.2,13,2,400,1,1,1,3,3,3,3,2,3,0.4114,0.32076,0.43749,0.36054,0.32517,0.43684,0.28841,0.65035,0.1199,0.14654,0.30506,0.30332,0.073092,0.17136,0.031819,0.029728,0.073673,0.058964,0.75076,1.3366,0.63135,0.28552,1.4586,0.92832,19.142,14.931,1.8357,1.7656,0.088589,0.0065699
49,1,10.2,13,3,-500,1,1,3,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1.1726,0.69937,0.4211,0.19062,0.14611,0.21296,0.19292,0.061358,0.063086,0.00066966,0.00075439,0.0013554,3.5687,1.7192,1.2943,0.59656,0.5853,0.69536,19.142,14.931,1.8357,1.7656,0.088589,0.0065699
50,1,14.75,12,1,199,1,2,3,1,1,1,1,1,1,0.60687,0.65011,0.50449,0.54567,0.54218,0.49018,0.11267,1.1117,0.11163,0.14362,0.35466,0.31248,0,0,0,0.0070457,0.053257,0.0074966,0.85208,3.6995,0.39558,0.6635,1.0953,1.8019,12.033,12.592,2.1343,1.4372,0.071209,0.028501
50,1,14.75,12,2,600,1,1,1,3,3,3,2,3,3,0.3786,0.55676,0.52621,0.38294,0.37422,0.31833,0.070174,1.1396,0.078463,0.29271,0.31257,0.25944,0,0,0,0.010002,0.020029,0.0090913,0.59503,2.9231,0.50088,1.6172,0.99244,1.6253,12.033,12.592,2.1343,1.4372,0.071209,0.028501
50,1,14.75,12,3,600,1,2,1,1,1,1,1,1,1,0.59134,0.61497,0.66035,0.62928,0.6629,0.68651,0.28647,0.29062,0.18806,0.43098,0.13889,0.13115,0,0,0,0.023607,0.0032773,0.0032857,0.77972,1.168,0.95103,1.1146,0.78538,0.7623,12.033,12.592,2.1343,1.4372,0.071209,0.028501
51,1,24.46,16,1,499,1,2,3,1,1,1,1,1,1,0.58232,0.66298,0.54901,0.44739,0.52849,0.55637,0.30404,0.23008,1.1952,0.2556,0.3141,0.37483,0.012425,0.0079349,0.54879,0.0072045,0.010915,0.025628,1.1878,1.0097,1.9565,1.3825,1.8797,1.1264,10.111,3.578,0.99191,0.4068,0.11134,0.0064808
51,1,24.46,16,2,1000,1,1,1,3,3,3,2,3,2,0.37137,0.41622,0.33447,0.38139,0.32254,0.28362,0.10538,0.064252,0.55208,0.084257,0.16061,0.30123,0,0,0,0,0,0,0.30271,0.17881,2.1784,0.37477,0.43693,0.74313,10.111,3.578,0.99191,0.4068,0.11134,0.0064808
51,1,24.46,16,3,800,1,2,3,1,1,1,1,1,1,0.71619,0.67564,0.69501,0.73115,0.64816,0.69259,0.2789,0.31067,0.14817,0.55473,0.55081,0.34978,0.018917,0.018865,0.02071,0.027598,0.0046463,0.0054755,0.96061,0.97902,0.34793,1.3779,1.4865,0.98959,10.111,3.578,0.99191,0.4068,0.11134,0.0064808
52,1,8.36,15,1,99,1,1,1,1,1,1,1,1,1,0.65285,0.56738,0.56315,0.4171,0.34541,0.61035,0.56991,1.0338,0.10053,0.50267,0.79926,0.60443,0,0,0,0.1129,0.098982,0.02602,1.3329,2.4412,0.27693,1.2438,3.7866,2.2719,10.416,8.3761,0.97725,0.92654,0.042589,0.0072789
52,1,8.36,15,2,200,1,1,1,2,3,3,3,2,2,0.44343,0.50602,0.44427,0.55818,0.40503,0.47431,0.43614,0.45926,0.030387,0.2889,0.59419,0.3341,0,0,0,1.5828e-45,0.013373,1.7987e-46,1.0665,2.3921,0.1631,0.52065,1.8779,0.87816,10.416,8.3761,0.97725,0.92654,0.042589,0.0072789
52,1,8.36,15,3,500,1,2,3,1,1,1,1,1,1,0.60565,0.70086,0.53412,0.70839,0.8224,0.74365,0.8252,0.29694,0.20211,0.37844,0.5255,0.36063,0,0,0,0.062893,0.068844,0.036119,1.7007,0.64145,0.61583,1.0479,1.8474,1.06,10.416,8.3761,0.97725,0.92654,0.042589,0.0072789
